query,rank,score,date,week_id,chunk_index,text_len,top_k_days,top_k_chunks,chunk_size,overlap,source_day_md,text,config_id,text_preview,label,comment
Когда я чувствую скуку?,6,0.81294984,2026-04-20,2026-W17,0,800,7,7,800,150,data/processed/days_md/2026-04-20.md,"ть о проблемах. Понимаю,то не
совсем правильно, но мне так спокойнее.
Утром встал, поел и пошел делать свои дела: дописал лекции
Царьковой, немного подготовился к лабе, да и всё вроде.
Из-за непогоды пришлось сегодня делать тренировку дома.
Как по мне, получилось не так эффективно как на улице - я
не чувствую боли в мышцах, однако всё равно хорошо, что я
позанимался.
Приготовил себе поесть, а потом отдыхал: читал, смотрел
видосики, даже аниме сегодня чекнул.
Ничего особого, но меня не покидало неприятное чувство: я
будто белка в колесе которое никогда не остановится, всё
время тороплюсь, но куда и зачем - не совсем понятно. Я
стараюсь пробежать спринт, который можно пробежать и в
другом темпе - это нагружает мой мозг и я всё меньше хочу

бегать.
Я не хочу бросать ds, но пока что я просто у",k7_c800,"ть о проблемах. Понимаю,то не совсем правильно, но мне так спокойнее. Утром встал, поел и пошел делать свои дела: дописал лекции Царьковой, немного подготовился к лабе, да и всё вроде. Из-за непогоды пришлось сегодня делать тренировку дома. Как по мне, получилось не так эффективно как на улице - я не чувствую боли в мышцах, однако всё равно хорошо,...",1,
Когда я чувствую скуку?,7,0.81291103,2026-06-13,2026-W24,1,958,7,7,800,150,data/processed/days_md/2026-06-13.md,"сдал

дома зачёт.
Недавно у меня появилось интересное занятие: сидеть на
балконе, пить чай и слушать ost-ы. Я чувствую, что
расслабляюсь, тяжёлые мысли уходят из головы и я как
будто начинаю думать о прекрасном: о музыке или природе.
На самом деле, сегодня прям вообще нечего было делать. И
всему причина, что я перестал читать или смотреть новые
истории, перестал потреблять интересный, но очень
затратный по времени контент. Пока что во времени зияет
огромная дыра. И латаю я её через свой проект по ml.
Правда, мне не нравится, что самого ml там почти нет. Я
много говорил с иишкой на этот счёт.
Ощущение, будто я занимаюсь чем-то бесполезным. Но я всё
равно это делаю.
Посмотрел 2 серии аниме, которое я недавно забросил - не
начал же новую историю.
Здоровья, здоровья, здоровья и силы в момент в

я всё
равно это делаю.
Посмотрел 2 серии аниме, которое я недавно забросил - не
начал же новую историю.
Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c800,"сдал дома зачёт. Недавно у меня появилось интересное занятие: сидеть на балконе, пить чай и слушать ost-ы. Я чувствую, что расслабляюсь, тяжёлые мысли уходят из головы и я как будто начинаю думать о прекрасном: о музыке или природе. На самом деле, сегодня прям вообще нечего было делать. И всему причина, что я перестал читать или смотреть новые исто...",2,
Когда я чувствую скуку?,1,0.836905,2026-06-12,2026-W24,4,499,7,7,500,100,data/processed/days_md/2026-06-12.md,"очередь, перед собой.
Правильного ответа нет.
Эх, вроде бы грустно, а вроде и приятно.

Сегодня встал в 11:11 утра. Во рту было гадко.
Я быстро момылся пробрался , пацаны тоже скоро
проснулись и мы вместе поели. Поболтали, в комнату
поиграли, в теннис зарубились и разошлись.
Я не особо хочу разбирать микромоменты моего общения с
ними. Я просто вёд себя как всегда: учтиво по отношению ко
всем.
Правда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался р",k7_c500,"очередь, перед собой. Правильного ответа нет. Эх, вроде бы грустно, а вроде и приятно. Сегодня встал в 11:11 утра. Во рту было гадко. Я быстро момылся пробрался , пацаны тоже скоро проснулись и мы вместе поели. Поболтали, в комнату поиграли, в теннис зарубились и разошлись. Я не особо хочу разбирать микромоменты моего общения с ними. Я просто вёд с...",1,
Когда я чувствую скуку?,2,0.8314165,2026-06-12,2026-W24,1,500,7,7,500,100,data/processed/days_md/2026-06-12.md,"оям, им хочется сопереживать, поддерживать их, эмоции
радости и печали очень хорошо отражаются через письмо
автора и великолепную постановку.
Да, иногда бывают и скучные моменты, когда нет особого
развития, но они также важны для понимания истории и
персонажей, не назвал бы это минусом.
Почему-то хочу поставить 9/10, а не 10. Может, потому что не
было вау эффекта? Хотя, вроде и он был. Ладно, будет
9.5/10, из-за скучного эпизода в парке развлечений - там

переборщили с количеством скучных событи",k7_c500,"оям, им хочется сопереживать, поддерживать их, эмоции радости и печали очень хорошо отражаются через письмо автора и великолепную постановку. Да, иногда бывают и скучные моменты, когда нет особого развития, но они также важны для понимания истории и персонажей, не назвал бы это минусом. Почему-то хочу поставить 9/10, а не 10. Может, потому что не б...",0,
Когда я чувствую скуку?,3,0.8272843,2026-04-20,2026-W17,1,748,7,7,500,100,data/processed/days_md/2026-04-20.md,"м отдыхал: читал, смотрел
видосики, даже аниме сегодня чекнул.
Ничего особого, но меня не покидало неприятное чувство: я
будто белка в колесе которое никогда не остановится, всё
время тороплюсь, но куда и зачем - не совсем понятно. Я
стараюсь пробежать спринт, который можно пробежать и в
другом темпе - это нагружает мой мозг и я всё меньше хочу

бегать.
Я не хочу бросать ds, но пока что я просто устал.
Делал алгоритмы. Да, было неприятно но несколько задач я
всё же сделал.
По физическому состоян

стал.
Делал алгоритмы. Да, было неприятно но несколько задач я
всё же сделал.
По физическому состоянию всё +- норм, однако я чаще стал
замечать сухость и кислоту в горле - нужно что-то сделать.
Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c500,"м отдыхал: читал, смотрел видосики, даже аниме сегодня чекнул. Ничего особого, но меня не покидало неприятное чувство: я будто белка в колесе которое никогда не остановится, всё время тороплюсь, но куда и зачем - не совсем понятно. Я стараюсь пробежать спринт, который можно пробежать и в другом темпе - это нагружает мой мозг и я всё меньше хочу бег...",1,
Когда я чувствую скуку?,4,0.82517534,2026-06-12,2026-W24,5,467,7,7,500,100,data/processed/days_md/2026-06-12.md,"вда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался разобраться со скукой. Читал манхвы, при
этом ощущая себя опустошенным. Наверное, сейчас я в
дофаминовой яме и нужно просто потерпеть.
Потом после прохождения новеллы стало намного лучше: в
голове появилось больше ясности, да и настроение
поднялось.
Вечером ещё погулял по городу. Много думаю о себе и своих
делах.

Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c500,"вда меня бесит, что они уж слишком часто упоминт мои слабости, хоть и ради шутки. Потом я старался разобраться со скукой. Читал манхвы, при этом ощущая себя опустошенным. Наверное, сейчас я в дофаминовой яме и нужно просто потерпеть. Потом после прохождения новеллы стало намного лучше: в голове появилось больше ясности, да и настроение поднялось. В...",2,
Когда я чувствую скуку?,5,0.82150483,2026-05-26,2026-W22,2,500,7,7,500,100,data/processed/days_md/2026-05-26.md,"ешил сегодня поиграть в Европку от скуки. Вроде бы не
самое лучшее решение, но мне действительно было нечего
делать.
В общем, за день часа 3-4, наверное, я наиграл.
А так, от скуки пошел сегодня вечером на турники. По сути, я
должен бы был идти завтра, но утром я уезжаю в Москву и
приеду только вечером, так что решил сегодня расправиться
со спортом - правильное решение.
Пообщался с иишкой насчёт моей жизни за рамками
карьеры. И вот главный тезис: ""Я доверяю себе, потому что я
регулярно веду себя",k7_c500,"ешил сегодня поиграть в Европку от скуки. Вроде бы не самое лучшее решение, но мне действительно было нечего делать. В общем, за день часа 3-4, наверное, я наиграл. А так, от скуки пошел сегодня вечером на турники. По сути, я должен бы был идти завтра, но утром я уезжаю в Москву и приеду только вечером, так что решил сегодня расправиться со спортом...",2,
Когда я чувствую скуку?,6,0.8172224,2026-03-31,2026-W14,1,500,7,7,500,100,data/processed/days_md/2026-03-31.md,"Если
честно, ожидал чего-то более понятного и нормального. А на
второй паре уже сам хорошо написал итоговый тест. Так что
не зря готовился.
Рассказали с типами презентацию - всё ок.
На физру сходил, а потом пошли с Андреем на скалодром.

Недавно я поранил себе палец и теперь он начал
гноиться(пока что только боль есть без гноя). Но на
скалодром я все же пошел.
Пространство очень крутое, мы с Андреем очень хорошо
показали за 2-3 часа. Он мне офигенно всё объяснил и я
даже свог пройти трассу-пяьёр",k7_c500,"Если честно, ожидал чего-то более понятного и нормального. А на второй паре уже сам хорошо написал итоговый тест. Так что не зря готовился. Рассказали с типами презентацию - всё ок. На физру сходил, а потом пошли с Андреем на скалодром. Недавно я поранил себе палец и теперь он начал гноиться(пока что только боль есть без гноя). Но на скалодром я вс...",0,
Когда я чувствую скуку?,7,0.80936277,2026-05-26,2026-W22,1,500,7,7,500,100,data/processed/days_md/2026-05-26.md,"истории придумывал, вспоминал истории из
манхв и новелл, а потом делал лабы.
Таким образом, я будто потребляю контент к которому
привык, но уже в своих мыслях. Думаю, это естественный
переходный процесс. Надеюсь, скоро я окончательно
перестану погружаться в чужие истории, чтобы сбежать от
реальности.

Сделал всю рутину и в 12 начал потреблять контент:
послушал музыку, почитал новеллу, съел удон.
Решил сегодня поиграть в Европку от скуки. Вроде бы не
самое лучшее решение, но мне действительно был",k7_c500,"истории придумывал, вспоминал истории из манхв и новелл, а потом делал лабы. Таким образом, я будто потребляю контент к которому привык, но уже в своих мыслях. Думаю, это естественный переходный процесс. Надеюсь, скоро я окончательно перестану погружаться в чужие истории, чтобы сбежать от реальности. Сделал всю рутину и в 12 начал потреблять контен...",2,
Когда я чувствую скуку?,1,0.8312938,2026-04-20,2026-W17,1,546,12,12,600,100,data/processed/days_md/2026-04-20.md,"еприятное чувство: я
будто белка в колесе которое никогда не остановится, всё
время тороплюсь, но куда и зачем - не совсем понятно. Я
стараюсь пробежать спринт, который можно пробежать и в
другом темпе - это нагружает мой мозг и я всё меньше хочу

бегать.
Я не хочу бросать ds, но пока что я просто устал.
Делал алгоритмы. Да, было неприятно но несколько задач я
всё же сделал.
По физическому состоянию всё +- норм, однако я чаще стал
замечать сухость и кислоту в горле - нужно что-то сделать.
Здоровья, здоровья, здоровья и силы в момент выбора!",k12_c600,"еприятное чувство: я будто белка в колесе которое никогда не остановится, всё время тороплюсь, но куда и зачем - не совсем понятно. Я стараюсь пробежать спринт, который можно пробежать и в другом темпе - это нагружает мой мозг и я всё меньше хочу бегать. Я не хочу бросать ds, но пока что я просто устал. Делал алгоритмы. Да, было неприятно но нескол...",1,
Когда я чувствую скуку?,2,0.82517534,2026-06-12,2026-W24,4,467,12,12,600,100,data/processed/days_md/2026-06-12.md,"вда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался разобраться со скукой. Читал манхвы, при
этом ощущая себя опустошенным. Наверное, сейчас я в
дофаминовой яме и нужно просто потерпеть.
Потом после прохождения новеллы стало намного лучше: в
голове появилось больше ясности, да и настроение
поднялось.
Вечером ещё погулял по городу. Много думаю о себе и своих
делах.

Здоровья, здоровья, здоровья и силы в момент выбора!",k12_c600,"вда меня бесит, что они уж слишком часто упоминт мои слабости, хоть и ради шутки. Потом я старался разобраться со скукой. Читал манхвы, при этом ощущая себя опустошенным. Наверное, сейчас я в дофаминовой яме и нужно просто потерпеть. Потом после прохождения новеллы стало намного лучше: в голове появилось больше ясности, да и настроение поднялось. В...",2,
Когда я чувствую скуку?,3,0.82075953,2026-05-26,2026-W22,1,600,12,12,600,100,data/processed/days_md/2026-05-26.md,"потребляю контент к которому
привык, но уже в своих мыслях. Думаю, это естественный
переходный процесс. Надеюсь, скоро я окончательно
перестану погружаться в чужие истории, чтобы сбежать от
реальности.

Сделал всю рутину и в 12 начал потреблять контент:
послушал музыку, почитал новеллу, съел удон.
Решил сегодня поиграть в Европку от скуки. Вроде бы не
самое лучшее решение, но мне действительно было нечего
делать.
В общем, за день часа 3-4, наверное, я наиграл.
А так, от скуки пошел сегодня вечером на турники. По сути, я
должен бы был идти завтра, но утром я уезжаю в Москву и
приеду только вече",k12_c600,"потребляю контент к которому привык, но уже в своих мыслях. Думаю, это естественный переходный процесс. Надеюсь, скоро я окончательно перестану погружаться в чужие истории, чтобы сбежать от реальности. Сделал всю рутину и в 12 начал потреблять контент: послушал музыку, почитал новеллу, съел удон. Решил сегодня поиграть в Европку от скуки. Вроде бы...",2,
Когда я чувствую скуку?,4,0.81998134,2026-06-03,2026-W23,1,721,12,12,600,100,data/processed/days_md/2026-06-03.md,"это слышать и лучше бы им перестать.
На дорогу до работы и от нее я потратил где-то часа 4 или
немного больше. В дороге нормально заниматься не
получается, а на работе плохой инет. И вот как мне сегодня
нужно было к ds готовиться?

Но я всё равно ответил на 20 вопросов по claasic ml. Хотя их
там намного больше. Думаю, завтра-послезавтра доотвечаю
Я дома просто овощи уже был: болит голова и прям нихрена
делать не хочется. И это ещё у меня простая работа.
Я хз короче, вроде чувствую какую-то слабость в себе, хот с
другой стороны понимаю, что в этом нет моей вины.
Здоровья, здоровья, здоровья и

ость в себе, хот с
другой стороны понимаю, что в этом нет моей вины.
Здоровья, здоровья, здоровья и силы в момент выбора!",k12_c600,"это слышать и лучше бы им перестать. На дорогу до работы и от нее я потратил где-то часа 4 или немного больше. В дороге нормально заниматься не получается, а на работе плохой инет. И вот как мне сегодня нужно было к ds готовиться? Но я всё равно ответил на 20 вопросов по claasic ml. Хотя их там намного больше. Думаю, завтра-послезавтра доотвечаю Я...",1,
Когда я чувствую скуку?,5,0.8195701,2026-06-12,2026-W24,3,600,12,12,600,100,data/processed/days_md/2026-06-12.md,"воим принципам и не меняй их на
одобрение других.
Наслаждайся обычными делами.
Будь честен, в первую очередь, перед собой.
Правильного ответа нет.
Эх, вроде бы грустно, а вроде и приятно.

Сегодня встал в 11:11 утра. Во рту было гадко.
Я быстро момылся пробрался , пацаны тоже скоро
проснулись и мы вместе поели. Поболтали, в комнату
поиграли, в теннис зарубились и разошлись.
Я не особо хочу разбирать микромоменты моего общения с
ними. Я просто вёд себя как всегда: учтиво по отношению ко
всем.
Правда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался р",k12_c600,"воим принципам и не меняй их на одобрение других. Наслаждайся обычными делами. Будь честен, в первую очередь, перед собой. Правильного ответа нет. Эх, вроде бы грустно, а вроде и приятно. Сегодня встал в 11:11 утра. Во рту было гадко. Я быстро момылся пробрался , пацаны тоже скоро проснулись и мы вместе поели. Поболтали, в комнату поиграли, в тенни...",1,
